HomeGoals,AwayGoals,Value
0,0,0.124930212
0,1,0.047473481
0,2,0.009019961
0,3,0.001142528
0,4,0.00010854
0,5,8.25E-06
1,0,0.212381361
1,1,0.080704917
1,2,0.015333934
1,3,0.001942298
1,4,0.019743863
1,5,1.40E-05
2,0,0.180524157
2,1,0.06859918
2,2,0.013033844
2,3,0.001650954
2,4,0.000156841
2,5,1.19E-05
3,0,0.102297022
3,1,0.038872868
3,2,0.007385845
3,3,0.00093554
3,4,8.89E-05
3,5,6.75E-06
4,0,0.043476234
4,1,0.016520969
4,2,0.003138984
4,3,0.000397605
4,4,3.78E-05
4,5,2.87E-06
5,0,0.01478192
5,1,0.005617129
5,2,0.001067255
5,3,0.000135186
5,4,1.28E-05
5,5,9.76E-07
